codigo_municipio,ipm_2018,ipm_2018_imputed,ipm_2022,ipm_2022_imputed
41306,0.200485645603982,True,0.200485645603982,True
76306,0.1590938131982256,True,0.1590938131982256,True
05306,0.1588426984159165,True,0.1588426984159165,True
25307,0.1589957001992672,True,0.1589957001992672,True
05308,0.1588426984159165,True,0.1588426984159165,True
68307,0.1751835953101328,True,0.1751835953101328,True
05310,0.1588426984159165,True,0.1588426984159165,True
20310,0.2079822727349517,True,0.2079822727349517,True
54313,0.2076902500365385,True,0.2076902500365385,True
05313,0.1588426984159165,True,0.1588426984159165,True
25312,0.1589957001992672,True,0.1589957001992672,True
50313,0.1792150140840833,True,0.1792150140840833,True
68318,0.1751835953101328,True,0.1751835953101328,True
15317,0.1811504657502856,True,0.1811504657502856,True
76318,0.1590938131982256,True,0.1590938131982256,True
19300,0.2225297877342232,True,0.2225297877342232,True
25317,0.1589957001992672,True,0.1589957001992672,True
52317,0.2183487060505397,True,0.2183487060505397,True
76111,0.1590938131982256,True,0.1590938131982256,True
05315,0.1588426984159165,True,0.1588426984159165,True
41319,0.200485645603982,True,0.200485645603982,True
68320,0.1751835953101328,True,0.1751835953101328,True
25320,0.1589957001992672,True,0.1589957001992672,True
52320,0.2183487060505397,True,0.2183487060505397,True
52323,0.2183487060505397,True,0.2183487060505397,True
47318,0.2264530921208074,True,0.2264530921208074,True
50318,0.1792150140840833,True,0.1792150140840833,True
73319,0.1846202682881172,True,0.1846202682881172,True
19318,0.2225297877342232,True,0.2225297877342232,True
68322,0.1751835953101328,True,0.1751835953101328,True
70265,0.2357543664470872,True,0.2357543664470872,True
05318,0.1588426984159165,True,0.1588426984159165,True
25322,0.1589957001992672,True,0.1589957001992672,True
05321,0.1588426984159165,True,0.1588426984159165,True
25324,0.1589957001992672,True,0.1589957001992672,True
25326,0.1589957001992672,True,0.1589957001992672,True
15322,0.1811504657502856,True,0.1811504657502856,True
66318,0.169324647624077,True,0.169324647624077,True
68324,0.1751835953101328,True,0.1751835953101328,True
25328,0.1589957001992672,True,0.1589957001992672,True
