codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05034,2006,1,0.09952796223697896,0.8479878390271222,,-0.004081847627997612,0.16047061665181217,
05034,2010,1,0.01939038351459645,0.7430595306239267,,-0.08013757872238252,-0.10492830840319545,
05034,2010,2,,0.8646147223417994,,,,
05034,2014,1,,0.5331462644686075,,,-0.20991326615531924,
05034,2014,2,,0.7323544016457403,,,-0.13226032069605909,
05034,2018,1,0.046286678784731236,0.6324980524539081,,,0.09935178798530064,
05034,2018,2,0.11955492424242424,0.8381273674242424,,,0.10577296577850215,
05034,2022,1,0.14575488886189725,0.5666221304506255,,0.09946821007716601,-0.06587592200328263,
05034,2022,2,0.20407118894638085,0.7633479274464092,,0.08451626470395661,-0.0747794399778332,
05036,2002,1,0.28776978417266186,0.5299760191846523,,,,
05036,2006,1,0.13919821826280623,0.7126948775055679,,-0.14857156590985562,0.1827188583209156,
05036,2010,1,0.00966183574879227,0.4570048309178744,,-0.12953638251401398,-0.2556900465876935,
05036,2010,2,,0.7819706498951782,,,,
05036,2014,1,,0.42824339839265213,,,-0.028761432525222286,
05036,2014,2,,0.6629834254143646,,,-0.11898722448081356,
05036,2018,1,0.033931357254290175,0.6696567862714509,,,0.24141338787879874,
05036,2018,2,0.09650702196615052,0.8584803745048614,,,0.19549694909049675,
05036,2022,1,0.14069767441860465,0.5286821705426357,,0.10676631716431448,-0.1409746157288152,
05036,2022,2,0.2058388765705839,0.745380635624538,,0.10933185460443337,-0.11309973888032332,
05038,2002,1,0.08094262295081968,0.5292008196721312,,,,
05038,2006,1,0.07867847411444141,0.8038147138964578,,-0.002264148836378266,0.2746138942243266,
05038,2010,1,0.025752773375594295,0.536053882725832,,-0.052925700738847115,-0.26776083117062577,
05038,2010,2,,0.8031465848042978,,,,
05038,2014,1,,0.40035650623885916,,,-0.13569737648697283,
05038,2014,2,,0.5791309012875536,,,-0.22401568351674417,
05038,2018,1,0.039447066756574514,0.6207012811867836,,,0.22034477494792443,
05038,2018,2,0.08263473053892216,0.8413173652694611,,,0.2621864639819075,
05038,2022,1,0.1027043451838347,0.4639927073837739,,0.06325727842726019,-0.15670857380300968,
05038,2022,2,0.17546245919477693,0.764145810663765,,0.09282772865585477,-0.07717155460569614,
05040,2002,1,0.2919020715630885,0.3182674199623352,,,,
05040,2006,1,0.17612687813021702,0.5968280467445742,,-0.11577519343287149,0.27856062678223903,
05040,2010,1,0.010725552050473186,0.3615141955835962,,-0.16540132607974384,-0.23531385116097803,
05040,2010,2,,0.6595067621320605,,,,
05040,2014,1,,0.24450261780104712,,,-0.11701157778254909,
05040,2014,2,,0.4053169734151329,,,-0.2541897887169276,
05040,2018,1,0.13971539456662355,0.45084087968952136,,,0.20633826188847423,
05040,2018,2,0.24842105263157896,0.6667669172932331,,,0.2614499438781002,
05040,2022,1,0.24643061107938322,0.2924043403769275,,0.10671521651275967,-0.15843653931259388,
05040,2022,2,0.3414151410192974,0.6120732310737259,,0.09299408838771842,-0.05469368621950721,
05042,2002,1,0.3463386507783971,0.4107245819719393,,,,
05042,2006,1,0.22231571861326152,0.6438909458094918,,-0.12402293216513557,0.23316636383755251,
05042,2010,1,0.04768961336386906,0.5271453590192644,,-0.17462610524939245,-0.1167455867902274,
05042,2010,2,,0.7422910562299428,,,,
05042,2014,1,,0.3429390876809615,,,-0.18420627133830292,
05042,2014,2,,0.5351473922902494,,,-0.2071436639396934,
05042,2018,1,0.07832792207792208,0.5875608766233766,,,0.24462178894241515,
05042,2018,2,0.17222924978106452,0.7528461613311278,,,0.21769876904087837,
05042,2022,1,0.2112970711297071,0.39796500570559146,,0.13296914905178503,-0.18959587091778518,
05042,2022,2,0.2827693149685305,0.6695247651190368,,0.11054006518746601,-0.083321396212091,
05044,2002,1,0.45161290322580644,0.2921146953405018,,,,
05044,2006,1,0.044915254237288135,0.8423728813559322,,-0.4066976489885183,0.5502581860154305,
05044,2010,1,0.009461426491994178,0.7096069868995634,,-0.03545382774529396,-0.13276589445636888,
05044,2010,2,,0.8852852852852853,,,,
05044,2014,1,,0.5451467268623025,,,-0.16446026003726089,
05044,2014,2,,0.7112903225806452,,,-0.1739949627046401,
05044,2018,1,0.024567055980668547,0.7539267015706806,,,0.20877997470837817,
05044,2018,2,0.06888279643591501,0.8941055517477724,,,0.18281522916712722,
05044,2022,1,0.09661016949152543,0.4822033898305085,,0.07204311351085688,-0.27172331174017217,
05044,2022,2,0.13331000699790063,0.8351994401679497,,0.06442721056198562,-0.05890611157982273,
05045,2002,1,0.4639148892639763,0.46145977187867626,,,,
05045,2006,1,0.0888620481407989,0.44267103787421275,,-0.3750528411231774,-0.018788734004463514,
05045,2010,1,0.10501577287066247,0.5327129337539432,,0.016153724729863567,0.0900418958797305,
05045,2010,2,,0.7335460439224738,,,,
