codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
15466,0.4687707114235017,1308110.8457142857,155511.82285714286,132994.40714285715
15469,0.841438649235955,1052691.4714285715,50984.00285714286,258472.41999999998
15476,0.5214657586807403,1640931.6314285714,183911.91428571427,173978.8257142857
15480,0.6795444760408584,1894428.3,147988.38999999998,211611.1
15491,0.9645869650083005,1705353.2657142857,43582.55428571429,1175510.7857142857
15494,0.5574681388172908,1441973.2685714285,145999.52857142856,164285.51571428572
15500,0.5890124849809423,2122853.9057142856,321617.8728571428,346599.61
15507,0.837505270162146,2030860.1714285712,157812.0657142857,773798.6857142857
15511,0.42477375726728994,2488925.367142857,329991.4514285714,183646.33000000002
15514,0.8504725386422212,2797652.937142857,212179.89857142858,1086594.0442857142
15516,0.9323228458611922,1032575.4585714285,28193.795714285716,322030.8142857143
15518,0.4876717672687786,2329985.632857143,344484.33714285714,279714.52142857143
15522,0.2842273872076039,2534987.3528571427,509834.37857142853,161486.48285714284
15531,0.4978332347247788,1443029.3171428572,168938.2257142857,114296.96714285715
15533,0.26429363864640487,3398194.262857143,749690.8328571429,236119.8114285714
15537,0.6589053133619893,1346367.1185714286,152998.22999999998,210056.94714285713
15542,0.5384840977455968,1359318.7685714287,145220.26857142858,136397.1157142857
15550,0.26079192484688163,3680580.0314285713,778495.1942857142,259544.16999999998
15572,0.9608561445884707,1365976.0542857142,27732.535714285714,494721.46714285715
15580,0.4016935009183816,2032955.5342857144,290015.5742857143,139770.47714285713
15599,0.8111438499883938,1388814.2614285715,97618.32857142857,346765.0628571428
15600,0.5018734524335415,1107453.7485714287,162904.0,144787.68142857144
15621,0.372336183546046,2278761.637142857,330295.80428571434,124208.01000000001
15632,0.6253289478156213,1020802.0271428571,86272.83142857144,122354.61142857141
15638,0.771976768781393,1654731.922857143,162931.02,471547.32714285713
15646,0.8129362590910706,1171434.9485714284,109948.13,389818.24571428576
15660,0.45970559361360686,2999937.8985714284,376640.4928571429,217695.12285714285
15664,0.4887093254505866,1850769.4971428572,194498.29714285716,180398.64571428573
15667,0.7023106647111289,1483406.9442857143,138398.71,273502.15857142856
15673,0.296888374612346,2182471.92,293760.64714285714,88477.18428571428
15676,0.6666196128042737,1606723.07,210437.70428571428,300410.1542857143
15681,0.5129176433873794,1601575.81,173968.0,152618.35857142857
