codigo_municipio,year,round,candidate,votes,total_votes,registered_voters,vote_share
05040,2002,1,horacio_serpa,310,1062,,0.2919020715630885
05040,2002,1,ingrid_betancourt,8,1062,,0.007532956685499
05040,2002,1,luis_eduardo_garzon,19,1062,,0.0178907721280602
05040,2002,1,noemi_sanin,272,1062,,0.256120527306968
05042,2002,1,BEDOYA,34,5203,,0.0065346915241206
05042,2002,1,CARDONA,5,5203,,0.0009609840476648
05042,2002,1,CRISTANCHO,5,5203,,0.0009609840476648
05042,2002,1,LORA,7,5203,,0.0013453776667307
05042,2002,1,RINCON,8,5203,,0.0015375744762636
05042,2002,1,TARJETAS NO MARCADAS,67,5203,,0.0128771862387084
05042,2002,1,TOVAR,16,5203,,0.0030751489525273
05042,2002,1,VOTOS EN BLANCO,138,5203,,0.0265231597155487
05042,2002,1,VOTOS NULOS,136,5203,,0.0261387660964827
05042,2002,1,alvaro_uribe,2137,5203,,0.4107245819719393
05042,2002,1,horacio_serpa,1802,5203,,0.3463386507783971
05042,2002,1,ingrid_betancourt,31,5203,,0.0059581010955218
05042,2002,1,luis_eduardo_garzon,196,5203,,0.0376705746684605
05042,2002,1,noemi_sanin,621,5203,,0.1193542187199692
05044,2002,1,BEDOYA,8,558,,0.014336917562724
05044,2002,1,CARDONA,2,558,,0.003584229390681
05044,2002,1,CRISTANCHO,1,558,,0.0017921146953405
05044,2002,1,LORA,3,558,,0.0053763440860215
05044,2002,1,TARJETAS NO MARCADAS,11,558,,0.0197132616487455
05044,2002,1,TOVAR,4,558,,0.007168458781362
05044,2002,1,VOTOS EN BLANCO,24,558,,0.043010752688172
05044,2002,1,VOTOS NULOS,15,558,,0.0268817204301075
05044,2002,1,alvaro_uribe,163,558,,0.2921146953405018
05044,2002,1,horacio_serpa,252,558,,0.4516129032258064
05044,2002,1,ingrid_betancourt,3,558,,0.0053763440860215
05044,2002,1,luis_eduardo_garzon,12,558,,0.021505376344086
05044,2002,1,noemi_sanin,60,558,,0.1075268817204301
05045,2002,1,BEDOYA,62,19551,,0.0031711932893458
05045,2002,1,CARDONA,5,19551,,0.000255741394302
05045,2002,1,CRISTANCHO,13,19551,,0.0006649276251854
05045,2002,1,LORA,10,19551,,0.0005114827886041
05045,2002,1,RINCON,5,19551,,0.000255741394302
05045,2002,1,TARJETAS NO MARCADAS,61,19551,,0.0031200450104853
05045,2002,1,TOVAR,9,19551,,0.0004603345097437
05045,2002,1,VOTOS EN BLANCO,337,19551,,0.0172369699759603
05045,2002,1,VOTOS NULOS,131,19551,,0.0067004245307145
05045,2002,1,alvaro_uribe,9022,19551,,0.4614597718786762
05045,2002,1,horacio_serpa,9070,19551,,0.4639148892639763
05045,2002,1,ingrid_betancourt,52,19551,,0.0026597105007416
05045,2002,1,luis_eduardo_garzon,258,19551,,0.0131962559459874
05045,2002,1,noemi_sanin,516,19551,,0.0263925118919748
05051,2002,1,BEDOYA,44,6421,,0.0068525151845506
05051,2002,1,CARDONA,2,6421,,0.0003114779629341
05051,2002,1,CRISTANCHO,7,6421,,0.0010901728702694
05051,2002,1,LORA,8,6421,,0.0012459118517364
05051,2002,1,RINCON,1,6421,,0.000155738981467
05051,2002,1,TARJETAS NO MARCADAS,23,6421,,0.0035819965737424
05051,2002,1,TOVAR,49,6421,,0.0076312100918859
05051,2002,1,VOTOS EN BLANCO,42,6421,,0.0065410372216165
05051,2002,1,VOTOS NULOS,101,6421,,0.0157296371281731
05051,2002,1,alvaro_uribe,2238,6421,,0.3485438405232829
05051,2002,1,horacio_serpa,3776,6421,,0.5880703940196231
05051,2002,1,ingrid_betancourt,4,6421,,0.0006229559258682
05051,2002,1,luis_eduardo_garzon,37,6421,,0.0057623423142812
05051,2002,1,noemi_sanin,89,6421,,0.0138607693505684
05055,2002,1,BEDOYA,12,1097,,0.0109389243391066
05055,2002,1,CARDONA,16,1097,,0.0145852324521422
05055,2002,1,CRISTANCHO,2,1097,,0.0018231540565177
05055,2002,1,LORA,3,1097,,0.0027347310847766
05055,2002,1,RINCON,5,1097,,0.0045578851412944
05055,2002,1,TARJETAS NO MARCADAS,33,1097,,0.0300820419325433
05055,2002,1,TOVAR,14,1097,,0.0127620783956244
05055,2002,1,VOTOS EN BLANCO,29,1097,,0.0264357338195077
05055,2002,1,VOTOS NULOS,28,1097,,0.0255241567912488
05055,2002,1,alvaro_uribe,479,1097,,0.4366453965360073
05055,2002,1,horacio_serpa,111,1097,,0.1011850501367365
