codigo_municipio,nbi_rate,nbi_urban,nbi_rural
08001,0.09102008982599577,0.0907778756568714,0.45788043478260865
08078,0.14277577059531946,0.13698710319395935,0.17188266457372706
08137,0.3498027181060938,0.36212341470750414,0.2638937434463475
08141,0.3296014330497089,0.3508928571428572,0.2757842473482284
08296,0.13652888355691278,0.13118151637849976,0.23251808473992422
08372,0.17845761631612495,0.16324551478907387,0.20762317942361327
08421,0.24834520924512607,0.27407830808802514,0.22196176104314705
08433,0.1291519080398316,0.12511658065604933,0.19295042831063053
08436,0.2386523163313056,0.2381061824867846,0.24384909786768727
08520,0.1816369476132462,0.1767397521448999,0.3306264501160093
08549,0.2051100070972321,0.19165435745937962,0.2175546448087432
08558,0.13334566302940631,0.11706305104838112,0.21402349486049924
08560,0.23214590808132582,0.21769361639174492,0.2518952794905489
08573,0.09170122743077376,0.08289191123836794,0.15500685871056238
08606,0.2953233596418895,0.3260250569476082,0.2271405084102694
08634,0.16332718577099808,0.15688967366424697,0.3030518097941802
08638,0.18143103280127437,0.156959597867302,0.25326226012793174
08675,0.33090909090909093,0.3499269272926562,0.20857814336075203
08685,0.14789593155229613,0.14194420099328076,0.27817745803357313
08758,0.08025927910402342,0.07921860332918214,0.7327080890973037
08770,0.18273455673300598,0.17413870246085011,0.4050925925925926
08832,0.1613461236043403,0.1536555142503098,0.16927499201533056
08849,0.13601592790527087,0.12717149220489976,0.27708703374777977
11001,0.03471188356173964,0.034549022894852885,0.11167041992316865
13001,0.12489537193298376,0.11603193995328921,0.2062691448444229
13006,0.5591603053435114,0.34466562290315367,0.6257903147363302
13030,0.5845265845265845,0.48798271671617605,0.6519035054655107
13042,0.3626726182173246,0.2713489409141583,0.5152757078986587
13052,0.2698360655737705,0.275674269038458,0.2462220885647696
13062,0.4187143211715066,0.5205944798301486,0.27538829151732375
13074,0.4701073779009352,0.32564689315261397,0.5638565227324651
13140,0.4080263039365823,0.36026458776281595,0.47185099442281375
13160,0.3935117835321501,0.17816711590296497,0.6460176991150441
13188,0.339405487804878,0.33805901337021665,0.3420342034203421
13212,0.2994930629669157,0.5111430625449317,0.2178574729642296
13222,0.8494320237320021,0.888632675719532,0.6321022727272727
13244,0.4154595108050344,0.33323314297164613,0.6503348405929826
13248,0.29398295382266887,0.3393598827266064,0.24469214437367304
13268,0.47871163948023215,0.2807017543859649,0.5991551800800355
13300,0.5045029736618521,0.4054742202418841,0.5405656003708855
13430,0.2645072212503236,0.23224062414453872,0.33558632126435334
