"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"50",2022,12,0,1,"05030","Amagá","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",33,4696,"#dddddd","OTROS"
"51",2022,12,0,1,"05030","Amagá","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",28,4696,"#dddddd","OTROS"
"52",2022,12,0,1,"05030","Amagá","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",17,4696,"#dddddd","OTROS"
"53",2022,12,0,1,"05030","Amagá","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",7,4696,"#dddddd","OTROS"
"54",2022,12,0,1,"05031","Amalfi","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",2630,11232,"#871953","COALICION EQUIPO POR COLOMBIA"
"55",2022,12,0,1,"05031","Amalfi","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",1923,11232,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"56",2022,12,0,1,"05031","Amalfi","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",889,11232,"#1b3383","COALICION PACTO HISTORICO"
"57",2022,12,0,1,"05031","Amalfi","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",345,11232,"#dddddd","OTROS"
"58",2022,12,0,1,"05031","Amalfi","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",199,11232,"#dddddd","OTROS"
"59",2022,12,0,1,"05031","Amalfi","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",97,11232,"#808080","VOTOS NULOS"
"60",2022,12,0,1,"05031","Amalfi","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",36,11232,"#A97C20","COLOMBIA JUSTA LIBRES"
